index,Age,Prof,Det,Amb,Mins,Av Rat,Imp M,Pres,Cons,Ada,Inj Pr,WR,CA,Margin,Training facilities,Div Rep,Growth
18254,18.39835728952772,11,15,14,0,0.0,2,12,9,8,5,1750,75,35,12,147,9
18255,17.932922655715263,8,9,9,0,0.0,4,11,7,14,12,1000,64,34,12,96,7
18256,18.409308692676248,11,2,12,966,6.82,9,8,12,20,5,1750,89,24,17,85,-1
18257,17.842573579739906,9,6,11,2171,6.7,6,11,7,14,9,1250,102,45,11,147,8
18258,19.4031485284052,10,14,11,666,6.75,13,11,19,10,14,850,78,3,11,117,0
18259,17.9958932238193,11,3,15,44,7.5,10,11,20,15,11,900,70,25,5,80,9
18261,17.71663244353183,12,4,12,0,0.0,10,12,9,11,12,550,42,37,5,80,1
18262,18.94866529774127,11,5,12,0,0.0,11,12,11,19,6,950,60,47,10,173,5
18263,19.12662559890486,13,10,10,238,6.66,12,14,8,11,14,1950,79,18,13,96,2
18264,22.017796030116358,10,11,13,2430,6.6,3,13,12,10,5,900,73,16,6,86,0
18265,20.960985626283367,12,9,13,610,6.75,6,12,12,14,6,1000,75,13,10,86,0
18266,18.989733059548254,10,4,10,0,0.0,19,11,10,17,12,500,60,26,8,158,0
18267,21.582477754962355,14,13,13,90,6.5,12,13,13,15,6,3750,112,24,10,125,0
18268,18.70773442847365,13,12,13,802,6.86,11,11,12,15,10,1300,86,6,10,80,0
18269,17.56605065023956,10,7,13,0,0.0,4,11,6,7,6,550,44,29,14,80,1
18270,18.10814510609172,12,13,14,0,0.0,10,14,12,12,7,1500,84,35,20,158,3
18271,29.349760438056126,14,10,11,1597,6.59,3,8,13,14,10,1050,82,3,1,66,-1
18272,18.694045174537987,11,13,10,0,0.0,7,11,9,9,11,1000,73,27,14,117,5
18273,25.738535249828885,11,18,10,242,6.83,8,12,11,12,8,1000,80,4,1,66,0
18274,21.1088295687885,9,8,10,426,6.68,9,12,10,7,8,1200,79,24,13,94,0
18276,20.188911704312115,10,10,10,160,6.45,13,13,5,8,10,1250,75,10,9,73,0
